EXCEL SATIR 61 OK | TURAMUN | 28.02.2026 | Seyir=3 | FAZ30_LISTE=1-5-3-6-4-13-13-13-13-13
EXCEL SATIR 62 OK | TURAMUN | 07.02.2026 | Seyir=7 | FAZ30_LISTE=7-1-8-6-14-2-11-5-9-9
EXCEL SATIR 63 OK | ALPHA JUNIOR | 11.06.2026 | Seyir=2 | FAZ30_LISTE=1-3-6-7-9-4-5-2-8-5
EXCEL SATIR 64 OK | ALPHA JUNIOR | 02.06.2026 | Seyir=2 | FAZ30_LISTE=2-5-3-6-7-4-1-9-14-14
EXCEL SATIR 65 OK | ALPHA JUNIOR | 08.04.2026 | Seyir=2 | FAZ30_LISTE=5-1-10-7-6-11-8-3-9-2
EXCEL SATIR 66 OK | ALPHA JUNIOR | 07.03.2026 | Seyir=7 | FAZ30_LISTE=8-5-12-7-11-2-1-4-9-9
EXCEL SATIR 67 OK | ENTERPRISING ROCK | 05.07.2026 | Seyir=3 | FAZ30_LISTE=4-3-2-1-6-5-7-4-4-4
EXCEL SATIR 68 OK | ENTERPRISING ROCK | 14.06.2026 | Seyir=3 | FAZ30_LISTE=1-8-4-5-2-3-6-7-4-4
EXCEL SATIR 69 OK | ENTERPRISING ROCK | 31.05.2026 | Seyir=4 | FAZ30_LISTE=4-7-17-2-12-3-14-11-6-8
EXCEL SATIR 70 OK | ANGEL ON THE WING | 01.07.2026 | Seyir=3 | FAZ30_LISTE=1-2-4-6-3-8-7-5-4-4
EXCEL SATIR 71 OK | ANGEL ON THE WING | 17.06.2026 | Seyir=1 | FAZ30_LISTE=5-9-8-6-3-2-1-7-4-9
EXCEL SATIR 72 OK | ANGEL ON THE WING | 27.05.2026 | Seyir=2 | FAZ30_LISTE=1-2-7-4-5-3-6-9-8-4
EXCEL SATIR 73 OK | ANGEL ON THE WING | 30.03.2026 | Seyir=2 | FAZ30_LISTE=9-6-3-4-8-1-5-7-2-14
EXCEL SATIR 74 OK | WAITING A SUNNYDAY | 08.07.2026 | Seyir=6 | FAZ30_LISTE=5-3-2-4-1-7-6-9-9-9
EXCEL SATIR 75 OK | WAITING A SUNNYDAY | 24.06.2026 | Seyir=5 | FAZ30_LISTE=2-8-11-12-9-5-6-14-3-9
EXCEL SATIR 76 OK | WAITING A SUNNYDAY | 01.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=6-2-8-7-10-1-11-4-9-12
EXCEL SATIR 77 OK | WAITING A SUNNYDAY | 17.01.2026 | Seyir=1 | FAZ30_13_BULUNAMADI_ILK_SLOT_KABUL_LISTE=17-10-14-11-12-7-8-2-1-3
EXCEL SATIR 78 OK | LADY SEPHORA | 03.07.2026 | Seyir=1 | FAZ30_LISTE=3-1-5-2-6-4-11-4-4-4
EXCEL SATIR 79 OK | LADY SEPHORA | 19.06.2026 | Seyir=5 | FAZ30_LISTE=5-9-7-11-1-8-10-3-12-6
EXCEL SATIR 80 OK | LADY SEPHORA | 31.05.2026 | Seyir=6 | FAZ30_LISTE=12-10-14-11-6-4-5-1-7-2
EXCEL SATIR 81 OK | LADY SEPHORA | 17.05.2026 | Seyir=3 | FAZ30_LISTE=9-2-8-4-10-3-5-1-7-11
EXCEL SATIR 82 OK | LADY SEPHORA | 02.05.2026 | Seyir=5 | FAZ30_LISTE=3-1-5-4-2
EXCEL SATIR 83 OK | BLACK RUBY | 04.06.2026 | Seyir=8 | FAZ30_LISTE=9-6-1-2-3-5-7-4-14-14
EXCEL SATIR 84 OK | BLACK RUBY | 03.05.2026 | Seyir=9 | FAZ30_LISTE=3-5-2-6-9-8-12-7-10-4
