EXCEL SATIR 369 OK | ALYADİGAR | 30.04.2026 | Seyir=7 | FAZ30_LISTE=9-10-1-7-2-6-3-5-8-11
EXCEL SATIR 370 OK | ESKİ TOPRAK | 16.01.2026 | Seyir=1 | FAZ30_LISTE=2-3-4-8-12-7-1-9-3-10
EXCEL SATIR 371 OK | ŞANSIBOLBEY | 25.05.2026 | Seyir=6 | FAZ30_LISTE=7-10-1-8-5-3-11-4-6-2
EXCEL SATIR 372 OK | ŞANSIBOLBEY | 27.04.2026 | Seyir=5 | FAZ30_LISTE=1-2-3-4-5-6-9-9-9-9
EXCEL SATIR 373 OK | ŞANSIBOLBEY | 06.04.2026 | Seyir=5 | FAZ30_LISTE=1-2-6-3-7-4-13-13-13-13
EXCEL SATIR 374 OK | ŞANSIBOLBEY | 16.03.2026 | Seyir=8 | FAZ30_LISTE=11-5-7-9-1-3-8-2-4-13
EXCEL SATIR 375 OK | ŞANSIBOLBEY | 20.02.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=13-13-13-13-13-13-13-13-13-13
EXCEL SATIR 376 OK | ŞANSIBOLBEY | 09.02.2026 | Seyir=9 | FAZ30_LISTE=4-3-10-3-12-2-11-7-5-1
EXCEL SATIR 377 OK | ŞANSIBOLBEY | 02.02.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 378 OK | ŞANSIBOLBEY | 19.01.2026 | Seyir=7 | FAZ30_LISTE=2-10-3-6-8-7-5-1-9-4
EXCEL SATIR 379 OK | ALMUTANABİY | 10.07.2026 | Seyir=5 | FAZ30_LISTE=7-9-8-3-6-4-1-5-2-9
EXCEL SATIR 380 OK | ALMUTANABİY | 03.07.2026 | Seyir=4 | FAZ30_LISTE=14-6-11-4-1-7-1-5-2-10
EXCEL SATIR 381 OK | ALMUTANABİY | 22.04.2026 | Seyir=8 | FAZ30_LISTE=5-9-7-6-1-8-2-4-3-14
EXCEL SATIR 382 OK | ALMUTANABİY | 28.03.2026 | Seyir=7 | FAZ30_LISTE=3-5-7-8-1-2-4-6-13-13
EXCEL SATIR 383 OK | ALMUTANABİY | 18.03.2026 | Seyir=7 | FAZ30_LISTE=6-7-1-5-3-8-4-2-10-10
EXCEL SATIR 384 OK | ALMUTANABİY | 28.02.2026 | Seyir=3 | FAZ30_LISTE=4-1-3-2
EXCEL SATIR 385 OK | ALMUTANABİY | 07.02.2026 | Seyir=5 | FAZ30_LISTE=6-1-2-5-3-4-9-9-9-9
EXCEL SATIR 386 OK | ALMUTANABİY | 28.01.2026 | Seyir=5 | FAZ30_LISTE=11-7-1-4-2-8-10-5-9-6
EXCEL SATIR 387 OK | ALMUTANABİY | 17.01.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 388 OK | ALLER GÜLÜ | 29.06.2026 | Seyir=8 | FAZ30_LISTE=4-3-14-5-11-7-7-9-12-2
EXCEL SATIR 389 OK | ALLER GÜLÜ | 22.05.2026 | Seyir=2 | FAZ30_LISTE=6-10-3-9-7-14-3-17-7-5
EXCEL SATIR 390 OK | ALLER GÜLÜ | 27.03.2026 | Seyir=7 | FAZ30_LISTE=7-8-6-2-5-1-3-13-13-13
EXCEL SATIR 391 OK | ALLER GÜLÜ | 07.03.2026 | Seyir=8 | FAZ30_LISTE=5-10-8-2-4-1-7-6-3-12
EXCEL SATIR 392 OK | ALLER GÜLÜ | 31.01.2026 | Seyir=8 | FAZ30_LISTE=7-6-10-11-5-8-9-3-2-1
EXCEL SATIR 393 OK | SANCAK TAŞIYAN | 27.06.2026 | Seyir=8 | FAZ30_LISTE=2-1-12-5-4-9-10-11-8-7
EXCEL SATIR 394 OK | SANCAK TAŞIYAN | 30.05.2026 | Seyir=5 | FAZ30_LISTE=7-5-1-6-2-3-10-9-12-11
EXCEL SATIR 395 OK | SANCAK TAŞIYAN | 21.05.2026 | Seyir=8 | FAZ30_LISTE=6-10-5-11-8-12-2-7-3-14
EXCEL SATIR 396 OK | OĞLUM GÜRKAN | 15.06.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=12-7-11-14-3-12-2-1-8-4
EXCEL SATIR 397 OK | OĞLUM GÜRKAN | 05.06.2026 | Seyir=5 | FAZ30_LISTE=1-4-5-12-10-12-3-7-2-6
EXCEL SATIR 398 OK | MEN DAKKA DUKKA | 10.04.2026 | Seyir=1 | FAZ30_LISTE=12-1-11-3-6-2-1-9-3-5
EXCEL SATIR 399 OK | MEN DAKKA DUKKA | 26.03.2026 | Seyir=1 | FAZ30_LISTE=6-3-8-7-1-5-2-9-4-13
EXCEL SATIR 400 OK | MEN DAKKA DUKKA | 10.03.2026 | Seyir=4 | FAZ30_LISTE=2-1-6-4-7-3-13-13-13-13
EXCEL SATIR 401 OK | SON İZCİ | 02.07.2026 | Seyir=2 | FAZ30_LISTE=1-4-8-7-3-5-6-2-14-14
EXCEL SATIR 402 OK | SON İZCİ | 18.06.2026 | Seyir=4 | FAZ30_LISTE=6-4-5-2-7-1-3-14-14-14
EXCEL SATIR 403 OK | SON İZCİ | 12.03.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=1-2-3-6-5
EXCEL SATIR 404 OK | SON İZCİ | 02.03.2026 | Seyir=4 | FAZ30_LISTE=3-2-4-5-1-6-9-9-9-9
EXCEL SATIR 405 OK | SON İZCİ | 02.02.2026 | Seyir=4 | FAZ30_LISTE=1-2-3-5-4
EXCEL SATIR 406 OK | CANMETE | 04.05.2026 | Seyir=8 | FAZ30_LISTE=3-9-10-7-11-8-1-2-6-4
EXCEL SATIR 407 OK | CANMETE | 21.04.2026 | Seyir=7 | FAZ30_LISTE=2-7-3-6-5-8-1-4-9-5
EXCEL SATIR 408 OK | CANMETE | 26.03.2026 | Seyir=7 | FAZ30_LISTE=7-4-1-8-5-9-3-2-6-9
EXCEL SATIR 409 OK | CANMETE | 06.03.2026 | Seyir=3 | FAZ30_LISTE=3-1-2-4-5
EXCEL SATIR 410 OK | CANMETE | 27.02.2026 | Seyir=4 | FAZ30_LISTE=4-2-6-3-1-7-5-4-4-4
EXCEL SATIR 411 OK | CANMETE | 19.02.2026 | Seyir=6 | FAZ30_LISTE=3-1-4-6-5-2-9-9-9-14
EXCEL SATIR 412 OK | CANMETE | 12.02.2026 | Seyir=7 | FAZ30_LISTE=9-5-2-4-6-1-3-11-11-11
EXCEL SATIR 413 OK | KAYAFATİH | 04.07.2026 | Seyir=5 | FAZ30_LISTE=1-2-6-4-3-7-5-9-9-9
EXCEL SATIR 414 OK | KAYAFATİH | 30.05.2026 | Seyir=5 | FAZ30_LISTE=6-7-4-1-2-8-5-3-9-9
EXCEL SATIR 415 OK | KAYAFATİH | 09.05.2026 | Seyir=3 | FAZ30_LISTE=5-1-2-6-8-4-7-9-9-9
EXCEL SATIR 416 OK | KAYAFATİH | 08.04.2026 | Seyir=7 | FAZ30_LISTE=4-3-7-2-5-6-1-13-13-13
EXCEL SATIR 417 OK | KAYAFATİH | 27.03.2026 | Seyir=6 | FAZ30_LISTE=5-10-9-3-8-1-4-2-11-7
EXCEL SATIR 418 OK | KAYAFATİH | 20.03.2026 | Seyir=4 | FAZ30_LISTE=3-4-5-2-1
EXCEL SATIR 419 OK | KAYAFATİH | 19.02.2026 | Seyir=3 | FAZ30_LISTE=3-1-4-6-5-2-9-9-9-14
EXCEL SATIR 420 OK | KAYAFATİH | 12.02.2026 | Seyir=5 | FAZ30_LISTE=5-2-4-6-1-3-11-11-11-11
EXCEL SATIR 421 OK | KAYAFATİH | 01.02.2026 | Seyir=6 | FAZ30_LISTE=1-3-4-7-2-5-6-4-4-4
EXCEL SATIR 422 OK | KAYAFATİH | 18.01.2026 | Seyir=9 | FAZ30_LISTE=1-5-9-8-10-3-2-4-6-7
EXCEL SATIR 423 OK | UZUN DALGA | 18.05.2026 | Seyir=5 | FAZ30_LISTE=8-4-3-10-2-9-5-6-7-1
EXCEL SATIR 424 OK | UZUN DALGA | 09.05.2026 | Seyir=1 | FAZ30_LISTE=5-1-6-2-8-4-7-9-9-9
EXCEL SATIR 425 OK | UZUN DALGA | 08.04.2026 | Seyir=4 | FAZ30_LISTE=4-3-7-2-5-6-1-13-13-13
EXCEL SATIR 426 OK | UZUN DALGA | 20.03.2026 | Seyir=2 | FAZ30_LISTE=3-4-5-2-1
EXCEL SATIR 427 OK | UZUN DALGA | 27.02.2026 | Seyir=2 | FAZ30_LISTE=4-2-6-3-1-7-5-14-14-14
EXCEL SATIR 428 OK | UZUN DALGA | 20.01.2026 | Seyir=3 | FAZ30_LISTE=7-6-4-2-5-11-9-8-10-1
EXCEL SATIR 429 OK | KAŞEMUM KARA | 09.07.2026 | Seyir=3 | FAZ30_LISTE=5-7-2-3-4-6-1-8-7-7
EXCEL SATIR 430 OK | KAŞEMUM KARA | 20.06.2026 | Seyir=6 | FAZ30_LISTE=3-2-1-6-8-5-4-7-14-14
EXCEL SATIR 431 OK | KAŞEMUM KARA | 15.06.2026 | Seyir=4 | FAZ30_LISTE=6-4-1-3-2-10-11-8-9-7
EXCEL SATIR 432 OK | KAŞEMUM KARA | 28.04.2026 | Seyir=2 | FAZ30_LISTE=11-1-12-1-7-7-3-4-14-8
EXCEL SATIR 433 OK | KAŞEMUM KARA | 22.03.2026 | Seyir=1 | FAZ30_LISTE=3-4-2-1
EXCEL SATIR 434 OK | KAŞEMUM KARA | 08.02.2026 | Seyir=2 | FAZ30_LISTE=1-6-2-3-5-4-9-9-9-9
EXCEL SATIR 435 OK | KAŞEMUM KARA | 25.01.2026 | Seyir=1 | FAZ30_LISTE=6-2-3-7-1-4-8-5-8-8
EXCEL SATIR 436 OK | DEMİRKARDEŞLER | 15.06.2026 | Seyir=4 | FAZ30_LISTE=6-4-3-1-2-10-11-8-9-7
EXCEL SATIR 437 OK | DEMİRKARDEŞLER | 05.05.2026 | Seyir=4 | FAZ30_LISTE=3-2-9-1-5-6-4-7-8-14
EXCEL SATIR 438 OK | DEMİRKARDEŞLER | 24.04.2026 | Seyir=3 | FAZ30_LISTE=10-4-3-6-9-12-5-1-2-7
EXCEL SATIR 439 OK | DEMİRKARDEŞLER | 23.03.2026 | Seyir=1 | FAZ30_LISTE=2-5-4-7-1-9-3-6-8-14
EXCEL SATIR 440 OK | DEMİRKARDEŞLER | 09.03.2026 | Seyir=3 | FAZ30_LISTE=3-1-6-2-7-8-9-5-4-10
EXCEL SATIR 441 OK | İSEN BUGA | 08.07.2026 | Seyir=5 | FAZ30_LISTE=8-1-2-9-4-3-7-5-6-13
EXCEL SATIR 442 OK | İSEN BUGA | 13.06.2026 | Seyir=6 | FAZ30_LISTE=1-3-6-4-5-2-8-4-4-4
EXCEL SATIR 443 OK | İSEN BUGA | 06.05.2026 | Seyir=2 | FAZ30_LISTE=9-2-5-10-6-1-8-7-3-4
EXCEL SATIR 444 OK | İSEN BUGA | 30.04.2026 | Seyir=3 | FAZ30_LISTE=5-9-1-6-3-4-7-2-8-9
EXCEL SATIR 445 OK | İSEN BUGA | 07.04.2026 | Seyir=4 | FAZ30_LISTE=9-6-3-2-7-4-8-1-5-9
EXCEL SATIR 446 OK | İSEN BUGA | 27.03.2026 | Seyir=3 | FAZ30_LISTE=5-7-1-6-2-3-4-14-14-13
EXCEL SATIR 447 OK | İSEN BUGA | 13.03.2026 | Seyir=5 | FAZ30_LISTE=8-9-4-10-1-5-7-3-6-11
EXCEL SATIR 448 OK | İSEN BUGA | 24.02.2026 | Seyir=2 | FAZ30_LISTE=5-2-3-4-6-1-3-3-3-3
EXCEL SATIR 449 OK | İSEN BUGA | 29.01.2026 | Seyir=5 | FAZ30_LISTE=5-2-7-3-1-4-6-5-5-5
EXCEL SATIR 450 OK | İSEN BUGA | 20.01.2026 | Seyir=6 | FAZ30_LISTE=7-3-6-5-4-2-1-9-9-9
EXCEL SATIR 451 OK | MAGIC SELECTRA | 19.06.2026 | Seyir=5 | FAZ30_LISTE=3-1-6-9-5-8-2-7-4-14
EXCEL SATIR 452 OK | MAGIC SELECTRA | 29.05.2026 | Seyir=4 | FAZ30_LISTE=6-5-1-7-2-8-4-9-9-9
EXCEL SATIR 453 OK | MAGIC SELECTRA | 28.03.2026 | Seyir=2 | FAZ30_LISTE=1-6-4-3-7-5-2-9-9-9
EXCEL SATIR 454 OK | MAGIC SELECTRA | 28.01.2026 | Seyir=2 | FAZ30_LISTE=1-6-3-5-4-2-13-11-2-10
EXCEL SATIR 455 OK | PATRICK STAR | 27.06.2026 | Seyir=4 | FAZ30_LISTE=4-3-1-6-2-5-7-13-13-13
EXCEL SATIR 456 OK | PATRICK STAR | 05.05.2026 | Seyir=1 | FAZ30_LISTE=7-2-1-3-6-8-4-5-4-4
EXCEL SATIR 457 OK | ROSSO E BIANCO | 19.06.2026 | Seyir=6 | FAZ30_LISTE=3-1-6-9-5-8-2-7-4-9
EXCEL SATIR 458 OK | ROSSO E BIANCO | 01.06.2026 | Seyir=5 | FAZ30_LISTE=3-8-10-7-9-4-1-12-5-2
EXCEL SATIR 459 OK | ROSSO E BIANCO | 17.04.2026 | Seyir=1 | FAZ30_13_BULUNAMADI_ILK_SLOT_KABUL_LISTE=10-3-4-6-5-2-7-11-9-8
EXCEL SATIR 460 OK | BARLABEY | 11.06.2026 | Seyir=6 | FAZ30_LISTE=4-6-5-7-2-1-11-3-13-13
EXCEL SATIR 461 OK | BARLABEY | 25.05.2026 | Seyir=3 | FAZ30_LISTE=11-7-1-6-3-8-5-2-4-10
EXCEL SATIR 462 OK | BARLABEY | 04.05.2026 | Seyir=7 | FAZ30_LISTE=7-9-8-1-11-2-3-10-12-6
EXCEL SATIR 463 OK | YASİN AĞA | 05.07.2026 | Seyir=4 | FAZ30_LISTE=4-1-11-2-12-5-3-9-10-8
EXCEL SATIR 464 OK | YASİN AĞA | 08.06.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 465 OK | YASİN AĞA | 14.05.2026 | Seyir=7 | FAZ30_LISTE=6-10-9-1-8-7-4-3-5-2
EXCEL SATIR 466 OK | YASİN AĞA | 30.04.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 467 OK | ASALET SAHİBİ | 08.06.2026 | Seyir=6 | FAZ30_LISTE=9-3-5-7-4-1-8-12-9-6
EXCEL SATIR 468 OK | ASALET SAHİBİ | 27.05.2026 | Seyir=8 | FAZ30_LISTE=11-3-12-1-7-5-2-4-8-6
EXCEL SATIR 469 OK | ASALET SAHİBİ | 18.05.2026 | Seyir=6 | FAZ30_LISTE=8-4-5-12-7-2-6-1-10-9
EXCEL SATIR 470 OK | TEKNİKTAKTİK | 04.05.2026 | Seyir=7 | FAZ30_LISTE=9-8-12-4-5-11-6-1-3-7
EXCEL SATIR 471 OK | ASİLBULUT | 03.07.2026 | Seyir=3 | FAZ30_LISTE=8-4-10-14-11-7-5-1-12-2
EXCEL SATIR 472 OK | ASİLBULUT | 25.06.2026 | Seyir=4 | FAZ30_LISTE=3-4-10-9-9-11-7-12-2-8
EXCEL SATIR 473 OK | ASİLBULUT | 12.06.2026 | Seyir=3 | FAZ30_LISTE=1-5-6-4-2-3-9-9-14-14
EXCEL SATIR 474 OK | ASİLBULUT | 02.06.2026 | Seyir=3 | FAZ30_LISTE=2-4-1-6-9-11-8-7-12-3
EXCEL SATIR 475 OK | ASİLBULUT | 18.05.2026 | Seyir=2 | FAZ30_LISTE=14-8-4-12-5-7-2-6-1-10
EXCEL SATIR 476 OK | ROZA HANIM | 15.06.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=14-3-1-5-3-10-7-9-2-12
EXCEL SATIR 477 HATA | İSPANOZ | 09.07.2026 | Video işlendi ama sonuç satırı çıkmadı | ==========================================================
VIDEO 475
Satır: 09.07.2026 Ankara 1000 Ç:Normal 3.3 4 58.44 57 KGK İSM.YILDIRIM 2 2,65 3+İ 7 ŞARTLI 4 M.ÖZGÜL H.TARIK DİKENCİK 92 59.500 16
Video URL: https://www.tjk.org/TR/YarisSever/Info/YarisVideoAt/At?AtKodu=107034&KosuKodu=226062
MP4 URL: https://video-cdn.tjk.org/videoftp/2026/7/26070957.mp4
At No: 1
Derece: 58.44 => 58.44
Video Başlangıç Offset: 0.0
HATA: Video elementi bulunamadı veya video hazır olmadı. Excel satırı yazılmadı.
EXCEL SATIR 478 OK | İSPANOZ | 13.06.2026 | Seyir=1 | FAZ30_LISTE=1-3-6-4-5-2-8-4-4-4
EXCEL SATIR 479 OK | İSPANOZ | 01.06.2026 | Seyir=1 | FAZ30_LISTE=3-8-10-7-9-4-1-12-5-2
EXCEL SATIR 480 OK | İSPANOZ | 18.05.2026 | Seyir=1 | FAZ30_LISTE=3-9-14-4-7-10-8-6-5-2
EXCEL SATIR 481 OK | İSPANOZ | 12.05.2026 | Seyir=3 | FAZ30_LISTE=2-3-9-7-4-5-12-6-8-10
EXCEL SATIR 482 OK | İSPANOZ | 17.04.2026 | Seyir=1 | FAZ30_LISTE=10-3-4-6-5-2-7-11-9-8
EXCEL SATIR 483 OK | İSPANOZ | 03.04.2026 | Seyir=1 | FAZ30_LISTE=3-2-4-1-6
EXCEL SATIR 484 OK | LA BOMBONERA | 10.07.2026 | Seyir=3 | FAZ30_LISTE=7-6-3-2-5-1-4-13-13-13
EXCEL SATIR 485 OK | LA BOMBONERA | 07.05.2026 | Seyir=6 | FAZ30_LISTE=5-1-4-3-7-2-6-14-14-14
EXCEL SATIR 486 OK | LA BOMBONERA | 18.04.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=10-9-8-11-5-9-1-6-7-2
EXCEL SATIR 487 OK | LA BOMBONERA | 06.04.2026 | Seyir=6 | FAZ30_LISTE=1-7-2-3-4-10-6-9-9-9
EXCEL SATIR 488 OK | LEJUR | 22.06.2026 | Seyir=3 | FAZ30_LISTE=5-4-2
EXCEL SATIR 489 OK | LEJUR | 08.06.2026 | Seyir=2 | FAZ30_LISTE=5-2-6-7-1-3-4-8-9-9
EXCEL SATIR 490 OK | LEJUR | 01.05.2026 | Seyir=4 | FAZ30_LISTE=7-4-5-2-6-8-13-13-13-13
EXCEL SATIR 491 OK | LEJUR | 03.04.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=3
EXCEL SATIR 492 OK | LEJUR | 16.03.2026 | Seyir=6 | FAZ30_LISTE=5-3-1-8-6-7-9-2-4-9
EXCEL SATIR 493 OK | LEJUR | 02.02.2026 | Seyir=2 | FAZ30_LISTE=8-6-14-3-7-4-9-1-12-7
EXCEL SATIR 494 OK | ERDUMAN | 06.07.2026 | Seyir=7 | FAZ30_LISTE=1-10-11-2-3-8-4-5-12-7
EXCEL SATIR 495 OK | ERDUMAN | 29.06.2026 | Seyir=6 | FAZ30_LISTE=3-4-2-1-5-7-10-12-9-11
EXCEL SATIR 496 OK | ERDUMAN | 15.05.2026 | Seyir=10 | FAZ30_LISTE=3-14-8-6-5-4-11-1-12-9
EXCEL SATIR 497 OK | DİDİ LAZİ | 03.07.2026 | Seyir=7 | FAZ30_LISTE=1-8-10-4-3-11-2-9-12-5
EXCEL SATIR 498 OK | DİDİ LAZİ | 01.06.2026 | Seyir=9 | FAZ30_LISTE=3-8-10-7-9-4-1-12-5-2
EXCEL SATIR 499 OK | DİDİ LAZİ | 17.04.2026 | Seyir=4 | FAZ30_LISTE=4-10-3-5-2-7-1-8-9-11
EXCEL SATIR 500 OK | MİRALAYIM | 18.04.2026 | Seyir=5 | FAZ30_LISTE=8-12-6-7-10-9-1-4-2-14
EXCEL SATIR 501 OK | KIZIM BERİL | 06.03.2026 | Seyir=2 | FAZ30_LISTE=6-9-1-7-10-8-2-4-12-5
EXCEL SATIR 502 OK | TANNUR STAR | 15.02.2026 | Seyir=2 | FAZ30_LISTE=3-9-4-1-8-11-6-9-7-10
EXCEL SATIR 503 OK | MİKEA | 29.06.2026 | Seyir=3 | FAZ30_LISTE=3-4-2-1-5-7-10-12-9-11
EXCEL SATIR 504 OK | MİKEA | 13.06.2026 | Seyir=7 | FAZ30_LISTE=1-3-6-4-5-2-8-4-4-4
EXCEL SATIR 505 OK | MİKEA | 01.05.2026 | Seyir=6 | FAZ30_LISTE=1-10-7-8-3-2-14-11-6-5
