Elazığ;(22. Yarış Günü);15/07/2026
1. Kosu :   17.45;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
5;TEKİR BEYİ KG DB SK;5y a  a;ÖZGÜNHAN;KEHRİBAR;60;M.A.AKTÜRK;HÜSEYİN ÖZKAYAGAN;ES.YILDIRIM;6;%1.71(13)  %1.57(13);57;2:38.42;39,60;
6;HİLVANLIOĞLU KG DB;8y a  a;ŞİMŞEĞİNOĞLU;GÜLDEREN;60;İ.AKYAVUZ;MEHMET CAMUZ;E.AÇMAZ;5;%15.61(2)  %15.76(2);91;2:42.65;3,75;
7;DÖRTNALBEYİ DB SKG SK;9y k  a;BALIKHAN;YILDIRIMKIZ;60;Y.CENGİZ;ÖMER YARDIMCI;EY.YARDIMCI;14;%8.61(4)  %8.02(4);89;2:44.31;13,45;
8;VİTAL KG DB SK;8y k  a;KARA YAĞIZ;SEMİR;60;A.ÇANKAYA;HİKMET ÇELİK;S.KARAKEÇİLİ;3;%10.76(3)  %10.88(3);85;2:48.45;10,75;
9;MELİHTAY KG DB SK;5y a  a;UÇANBEY;ALTINYUMAK;60;H.ALTUNKILIÇ;HÜLYA TEMEL;S.BAKIR;8;%1(17)  %0.98(16);73;2:50.04;57,20;
10;KRALCEVHERİ KG SK;5y a  a;JOKER;HAZİRANKIZI;60;İ.KATAR;İSMAİL SANCAR;M.A.SUBAY;17 - DS;%21.94(1)  %24.53(1);87;2:51.64;2,75;
11;OĞUZBEYİ DB SKG SK;4y a  a;ANKA;BETÜL;57,5 +2.00;A.ŞENBAHAR;MESUT AKBAŞ;E.AÇMAZ;1;%1.43(15)  %1.06(15);62;2:53.05;54,15;
12;DEBDEBE DB SKG SK;5y k  a;SON MARTI;ZAHİDE HATUN;60;R.DOĞAN;RESULCAN YARDIMCI;EY.YARDIMCI;15;%4.83(8)  %4.26(9);79;2:58.03;26,50;
13;SAVT KG K;4y k k;DESPOT;GÖRKEMLİ;55,5 +2.00;Y.ÇELİKBAŞ;YAHYA İŞIK;A.IŞIK;13;%1.79(12)  %1.72(12);61;3:00.44;24,40;
14;MUŞFIRTINASI KG K;6y k  a;DİZDAR BEY;ZELYURT GÜLÜ;60;M.IŞIK;GÜNAYDIN SAÇAN;MEHM.KAYA;12;%1.51(14)  %1.42(14);70;3:11.99;41,95;
15;ÇAPUTHAN KG K;4y k  a;ŞİMŞEĞİNOĞLU;MİRAN HATUN;57,5;M.N.SUNKAR;EYYÜP SANCAR;M.A.SUBAY;18 - DS;%6.39(5)  %6.24(6);76;3:18.32;14,45;
