Kocaeli;(22. Yarış Günü);21/07/2026
1. Kosu :   17.45;SATIŞ 1; 3 ve Yukarı İngilizler; 54.00kg; 60.00 kg; 60.50 kg; 2000m; Kum;;;;Rekor Derece :2.07.41
İkramiye;;;;;Yetiştirici Primi;;;;
1.)385.000 TL;2.)154.000 TL;3.)77.000 TL;4.)38.500 TL;5.)19.250 TL;1.)69.300 TL;2.)27.720 TL;3.)13.860 TL;4.)6.930 TL;5.)3.465 TL;
1.)695.000 TL;2.)278.000 TL;3.)139.000 TL;4.)69.500 TL;5.)34.750 TL;1.)208.500 TL;2.)83.400 TL;3.)41.700 TL;4.)20.850 TL;5.)10.425 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CİHANERK KG DB SK;3y k  e;EMBİR HAN;UÇANHAN;55 +1.20;M.M.BİLGİN;EBRU KARGIN;MUR.AKKILIÇ;9;%11.2(5)  %11.37(5);46;1:22.85;7,70;3 Boy
2;STARŞAH KG K;3y k  e;BİLDENHAN;CEĞİTLİ;55 +0.10;MAH.TURAN;MEHMET SALİH ELĞAÇ;GAL.KILIÇ;5;%8.94(6)  %8.26(6);43;1:23.39;13,20;1 Boy
3;GÜMBÜR BABA SK;3y a  e;GÜMBÜRGÜMBÜR;HAREM;57 +0.20;A.MEH.ALTIN;ÖMER FARUK ALTIN;M.ALTIN;7;%22.75(1)  %24.34(1);52;1:23.50;1,90;1,5  Boy
4;BEGİHAN KG DB SK;3y a  e;YILMABAŞAR;NEDİMEM;54 +2.00;A.SÖZEN;AİT ÇELİK;M.DAŞ;3;%11.98(4)  %11.71(4);40;1:23.78;8,65;Boyun
5;SALGUR KG SK;3y k  e;KURTÇABEY;NEVRAZİN;57;M.A.AKGÖBEK;EKREM BİRDEN;M.A.KAYA;8;%8.14(7)  %7.7(7);50;1:23.84;12,55;
6;PAPETTİ KG K;3y a  e;THOR;ZELİHA HATUN;54;Ö.F.ÖZEN AP;KÜRŞAT ORUÇ;GAL.KILIÇ;1;%3.1(9)  %2.92(9);36;1:24.44;28,95;
7;GUREGH KG K DB GKR;3y k  e;KAYAYÜREKLİ;SABIRLIKAYA;57;N.AVCİ;AZİZE KAYA;M.DEMİRTAŞ;4;%15.19(2)  %15.05(2);49;1:24.75;7,20;
8;DEVRAN BEY SK;3y a  e;ŞÜKRÜ;HURNCANE;54 +0.60;G.ÖZÇELİK;MERAL ÖZKAN;D.SAV;6;%13.4(3)  %13.46(3);43;1:25.69;6,45;
9;ŞENERHAN KG SK;3y k  e;FATİH AĞA;ARTUNYILDIZI;53 +2.00;A.YILDIZ;MEHMET YILDIRIM;TU.TURAN;2;%3.73(8)  %3.78(8);41;1:30.09;19,55;
10;BEKATA KG K DB GKR;3y a  e;ORÇUN;ŞAHANE KRALİÇE;53 +1.20;A.ASLAN;GÜROL ULUDAĞ;HÜS.KARABULUT;10 - DS;%1.57(10)  %1.41(10);30;1:31.57;23,55;
GANYAN(4) :7,70 TL, İKİLİ(4/5) :41,15 TL, SIRALI İKİLİ(4/5) :66,30 TL, ÜÇLÜ BAHİS(4/5/2) :548,00 TL, PLASE(4) :3,25 TL, PLASE(5) :4,55 TL, PLASE İKİLİ(2/4) :6,50 TL, PLASE İKİLİ(2/5) :22,70 TL, PLASE İKİLİ(4/5) :33,00 TL, 4. ÇİFTE(2/4) :171,35 TL

6. Kosu :   20.30;Handikap 16/DHÖW /H2; 4 Yaşlı Araplar; kg; 2000m; Kum;;;;Rekor Derece :2.19.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KARSAVURANLI KG DB SK;4y d  a;ÖZHABER;BALBADEMİM;58;BERK.GÖKÇE AP;VEHBİ ATEŞ;M.A.CANPOLATLI;1;%11.66(5)  %11.16(5);64;2:25.58;6,50;1,5  Boy
2;BAY OLOF KG SK;4y a  a;HABERKAN;AYBURAK SULTAN;56,5;M.M.BİLGİN;FİKRET KANMAN;Ş.Ş.DEMİR;7;%15.79(3)  %16.61(2);57;2:25.82;4,90;5,5 Boy
3;SONYEL KG SK;4y d  a;SONALP;SÜBEYHİKIZI;58,5;M.ÇELİK AP;MEHMET YILDIZ;Ö.F.TAŞDELEN;6;%17.01(2)  %15.76(3);67;2:26.79;6,40;Yarım Boy
4;TANJU BEY KG DB SK;4y k  a;TAMERİNOĞLU;BEYAZ ALTIN;52 +2.00;Y.Ş.GÜMÜŞ AP;M.LEVENT TOPSAKAL;MİR.İPEK;4;%4.78(7)  %4.45(7);47;2:26.88;15,35;1,5  Boy
5;KESTENOĞLU KG DB SK;4y a  a;SERDÜMEN;SEVDALIMSINCAN;56;N.AVCİ;MELTEM PALIT;Y.TAŞKIN;2;%31(1)  %34.15(1);56;2:27.15;2,05;
6;KAZDAĞI EFESİ;4y a  a;GÜMBÜRGÜMBÜR;KAZDAĞI GÜZELİ;58,5;O.ATMACA;AHMET FAYDALGEL;T.ÇEKİCİ;5;%13.86(4)  %12.66(4);61;2:27.42;5,05;
7;SAMET EFENDİ KG DB SK;4y k  a;MENGÜBERT;SARIGOBAK;58,5;MAH.TURAN;ÜMİT YAĞMUR;ADN.POLAT;3;%5.9(6)  %5.21(6);61;2:27.59;12,85;
GANYAN(2) :6,50 TL, 1. 6'LI GANYAN(4/1/1,9/2/4/2) :35.176,87 TL, İKİLİ(2/5) :13,05 TL, SIRALI İKİLİ(2/5) :32,05 TL, ÜÇLÜ BAHİS(2/5/1) :299,80 TL, 5. ÇİFTE(4/2) :66,75 TL

7. Kosu :   21.00;Handikap 16/Dişi /H2; 3 Yaşlı İngilizler; kg; 1700m; Kum;;;;Rekor Derece :1.46.58
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;VAYNAKH SK;3y d  d;BLUEGRASS CAT (USA);RAPUNZEL;54,5;Y.GÖKÇE AP;ADİL MERT KAYA;T.TAŞAR;5;%19.89(2);58;1:51.54;3,15;2,5 Boy
2;FINALLY ITS TIME KG DB SK;3y d  d;SUPER SAVER (USA);BLOOMY;59,5;M.M.BİLGİN;CUMA YILDIRIM;M.AKKILIÇ;7;%14.54(4);64;1:51.92;5,65;2,5 Boy
3;HEARTS PATH DB SKG SK;3y d  d;KLIMT (USA);DAYDAY DİDAY DAY;58,5;E.ATLAMAZ AP;BERKE KURTULUŞ;İ.AKKILIÇ;4;%20.46(1);68;1:52.30;4,05;Burun
4;AMONİ DB SK;3y d  d;KULOĞLU;PAN FLUTE;57,5;E.AKPINAR AP;CELAL CİNGÖZ;E.ÇİLEK;1;%17.3(3);66;1:52.31;4,70;1 Boy
5;ROSAS DEL ROSEDAL SK;3y d  d;KANEKO;REAL GIRL;59;M.ÇİÇEK;SEMİH KATI;H.SUNKAR;3;%4.69(8);63;1:52.43;16,25;
6;MY HAZEL EYES DB SK;3y d  d;MER DE GLACE (JPN);ATEŞGEÇİRMEZ;52 +0.50;S.TIRPAN;SEVDA ÖZGEN;E.ÇİLEK;2;%4.84(7);33;1:52.55;15,85;
7;MISS CALIFORNIA KG K;3y d  d;SUPER SAVER (USA);AMERICAN BILLION;52 +2.00;G.ÖZÇELİK;EMRAH ORHAN;S.BEKTAŞ;8 - DS;%10.42(5);40;1:55.23;5,85;
8;FORTHCOMING QUEEN KG K DB;3y d  d;MENDIP (USA);EPONA;58;K.TOKAÇOĞLU;TAYRAL TUTUMLU;Ş.AYDEMİR;6;%7.86(6);61;Derecesiz;10,60;
GANYAN(6) :3,15 TL, İKİLİ(3/6) :9,05 TL, SIRALI İKİLİ(6/3) :12,70 TL, ÜÇLÜ BAHİS(6/3/1) :124,60 TL, PLASE(3) :2,90 TL, PLASE(6) :3,20 TL, 6. ÇİFTE(2/6) :24,35 TL

8. Kosu :   21.30;Handikap 14/DHÖW /H2; 4 ve Yukarı Araplar; kg; 2000m; Kum;;;;Rekor Derece :2.19.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)72.000 TL;2.)28.800 TL;3.)14.400 TL;4.)7.200 TL;5.)3.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BİRGEDAĞ KG K;4y k  a;GELİBOLU;BOLKARIN GÜLÜ;54,5;S.TIRPAN;DEMİRHAN YILMAZ;E.ÇİLEK;10;%33.49(1);32;2:25.50;1,85;11 Boy
2;ZENG KG DB;6y d  a;TÜMÖZ BEY;KAFKASLIDEVRANI;63;MAH.TURAN;ÖZKAN SAVRAN;M.A.KAYA;11;%9.52(4);44;2:27.26;10,20;7 Boy
3;KIVIRCIKKIZ KG DB;4y a k;ÖZGÜNHAN;HIZ TUTKUNU;61;G.ÖZÇELİK;FERAT ÖZKAN;D.SAV;4;%11.11(3);45;2:28.46;7,55;3 Boy
4;ZEMBEREK SKG SK;5y a  a;DİLİRAN;TUNÇKANAT;60;Ç.TAŞCI AP;FATİH HAYIRLIOĞLU;GÜV.GÖKÇE;9;%8.72(5);44;2:28.96;12,45;Boyun
5;HARPUT MUHAFIZI KG K DB;4y d  a;GELİBOLU;SEYHATÇI;60;BERK.GÖKÇE AP;ERKUT ŞAHİN;U.GÖKÇE;6;%4.06(9);47;2:29.01;16,60;
6;AFŞARBEY KG DB SK;4y k  a;TURBO;İLK KIZ;56,5;A.ASLAN;HAKKI GÜLAL;SEV.BEKTAŞ;5;%5.27(8);36;2:30.15;12,25;
7;COŞDUR DB SKG SK;6y a  a;COŞARTAY;DURAK;56 +0.20;Ö.F.ÖZEN AP;KEMAL ALTIN;M.ALTIN;1;%6(6);34;2:34.99;8,75;
8;TUTMAÇ KG DB;4y a  a;FİRİKYA;YAKALA BENİ;58,5;M.M.BİLGİN;BERKCAN KESTEL;MUR.AKKILIÇ;3;%13.85(2);40;2:36.06;6,30;
9;KARŞIYAKALI PİRENURİ KG SK;4y k  g;ALMAATA;FİLDİŞİ;50 +0.10;İ.GÜN AP;ÖZKAN SAVRAN;M.A.KAYA;2;%0.67(4);12;2:42.28;10,20;
10;EMİRHAT KG DB SK;4y a  a;SERDÜMEN;DESSAS;54,5 +1.80;M.ÇELİK AP;KEMAL ALTIN;M.ALTIN;8;%1.06(6);34;2:47.46;8,75;
11;KARANİMO DB;5y d  a;BABA MEVLÜT;AKAY;58,5;O.ATMACA;KAAN GÜNEŞ;K.GÜNEŞ;7;%6.25(7);35;2:51.05;13,80;
[(5)ZENG,(11)KARŞIYAKALI PİRENURİ,] eküridir.[(8)COŞDUR],(9)EMİRHAT],] eküridir.GANYAN(10) :1,85 TL, 7'Lİ PLASE(1,5/1,5,9/2,3/4,5/2,5/3,6/5,10,11) :2.681,40 TL, 2. 6'LI GANYAN(1,9/2/4/2/6/10) :32.171,18 TL, 5'Lİ GANYAN(2/4/2/6/10) :11.615,85 TL, 4'LÜ GANYAN(4/2/6/10) :1.034,16 TL, 2. 3'LÜ GANYAN(2/6/10) :55,70 TL, İKİLİ(5/10) :13,35 TL, SIRALI İKİLİ(10/5) :18,85 TL, ÜÇLÜ BAHİS(10/5/2) :220,50 TL, PLASE(10) :1,80 TL, PLASE(5) :4,95 TL, PLASE İKİLİ(2/10) :4,30 TL, PLASE İKİLİ(2/5) :22,40 TL, PLASE İKİLİ(5/10) :11,40 TL, 7. ÇİFTE(6/10) :6,95 TL, 7'Lİ GANYAN(1/1,9/2/4/2/6/10) :161.723,30 TL

