Diyarbakır;(14. Yarış Günü);18/07/2026
1. Kosu :   21.00;ŞARTLI 19; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.10.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
3;PRINCESS GIRL KG DB SK;4y k k;BARBAROSBEY;SÜZGÜN;56,5 +2.00;M.P.DEMİR AP;AHMET YILANCIK;H.TEKİNALP;7;%3.44(8);36;2:29.33;27,40;4 Boy
4;KRALİÇEANNA KG DB;4y k k;DEMİRDELEN;MELTEMTAY;56,5 +0.50;İ.KATAR;HAMİT EMEKTAR;MAHMUT DOĞAN;5;%29.29(1);36;2:30.09;2,10;5,5 Boy
5;Bİ ANKA K DB;4y d k;SAADIN GÜCÜ;ALHARİKA;55,5 +2.00;R.DOĞAN;ÖMER ARSLAN;İ.ATMACA;6;%14.69(3);34;2:31.14;5,75;
6;NANDAR SKG SK;4y k k;ENDEREFE;YAĞMURUN KIZI;56,5 +0.10;A.AKDEMİR;ERDAL URAL;O.GÖRMEZ;2;%7.53(5);36;2:31.57;13,10;
7;ÇIĞGİBİ KG DB;4y a k;ODİNHAN;BÖRTEKİZ;53,5 +2.00;A.H.BAYAR;HAMİT EMEKTAR;MAHMUT DOĞAN;1;%3.77(1);30;2:39.00;2,10;
8;İLATUN KG SK;4y k k;ANKA;FERAHGÜL;52,5;İ.AKIN AP;AHMET TEKİN;B.DEMİRKAPU;9 - DS;%3.9(7);28;2:39.95;11,95;
9;URFA CEYLANI SK;4y k k;ŞAHİNTER;UMUT IŞIĞIM;55,5 +0.30;S.KAPLAN;ALİ NASIROĞLU;RES.KAYA;4;%5.82(6);34;2:43.88;14,95;
[(3)KRALİÇEANNA,(8)ÇIĞGİBİ,] eküridir.GANYAN(1) :7,20 TL, İKİLİ(1/2) :19,40 TL, SIRALI İKİLİ(1/2) :43,30 TL, ÜÇLÜ BAHİS(1/2/5) :1.439,90 TL, PLASE(1) :3,20 TL, PLASE(2) :1,75 TL, 2. ÇİFTE(4/1) :89,25 TL

4. Kosu :   22.30;ŞARTLI 3/DHÖW/Y1; 4 Yaşlı Araplar; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.20.07
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;FATMA HANIM KG DB SK;4y a k;SERHANTAY;ZEHRAKIZ;53;H.YÖNDEN;MAHMUT KARAOĞLAN;MEHM.KAYA;4;%7.56(3);32;2:36.03;10,25;7 Boy
2;EYBERK SKG SK;4y a  a;DİLİRAN;KIZIM ZEYNEP;60 +0.10;İ.AKIN;YÜKSEL CELİM;E.AÇMAZ;2;%7.21(4);35;2:37.17;9,75;6 Boy
3;ÖMERİNOĞLU KG K DB;4y k  a;ORÇUN;RÜZGAR YELE;60;L.TAPTIK;DENİZ TÜRKMAN;E.AÇMAZ;3;%69.51(1);56;2:38.16;1,10;17 Boy
4;AFRİKA KIZI KG K DB;4y a k;GÜMBÜRGÜMBÜR;DİLDE;54 +1.50;C.YILDIRIM;MEHMET GARİP BECENE;V.ÇİZİK;1;%15.72(2);57;2:41.08;4,30;
GANYAN(4) :10,25 TL, SIRALI İKİLİ(4/1) :38,45 TL, 3. ÇİFTE(1/4) :58,00 TL

5. Kosu :   23.00;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.03.77
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SEEK AND DESTROY K;3y d  e;AUTHORIZED (IRE);INVINCIBLE ROCK;54 +0.20;H.YÖNDEN AP;ÜMİT AKTAŞ;E.AÇMAZ;7 - DS;%67.2(1);64;2:18.79;1,20;13 Boy
2;MİRA CETİ SKG SK;3y d  d;SHAMALGAN (FR);ABOVE BOARD (FR);56 +0.60;L.TAPTIK AP;FIRAT TEKİNALP;H.TEKİNALP;2;%4.44(5);38;2:20.96;14,35;22 Boy
3;NATIONAL HERO KG DB SK;3y d  e;SQUAD;ADALYN;61;N.ALTIN;ALİ ŞAHİN;E.ALTIN;3;%8.02(3);34;2:24.75;9,25;2,5 Boy
4;BLUE COMET SKG SK;3y d  e;BLUEGRASS CAT (USA);STILL DREAMING;56;A.H.BAYAR;MUHAMMED ALİ ÇİZİK;M.ÇİÇEK;1;%9.74(2);26;2:25.21;8,95;3 Boy
5;NOW SEE ME KG SK;3y d  e;AIR VICE MARSHAL (USA);GALATASULTANI;55 +2.00;İ.KATAR;S.CAN BİROL;S.KARAKEÇİLİ;5;%1.92(7);;2:25.79;20,40;
6;TORUNUM DEVRİM KG SK;3y d  e;GAZIBORA KHAN (GB);PICCIKATO;55 +1.60;M.IŞIK;ALİ KARAKAN;E.AÇMAZ;6;%3.13(6);25;2:26.59;13,80;
7;BAD BOYS KG SK;3y d  e;BLUEGRASS CAT (USA);NUIT BLANCHE;61;R.DOĞAN;VEDAT ÇİÇEK;E.AÇMAZ;4;%5.56(4);36;2:28.45;8,65;
GANYAN(4) :1,20 TL, İKİLİ(3/4) :6,80 TL, SIRALI İKİLİ(4/3) :7,20 TL, ÜÇLÜ BAHİS(4/3/2) :74,30 TL, 4. ÇİFTE(4/4) :22,20 TL

6. Kosu :   23.30;Handikap 15/DHÖW /H3; 4 ve Yukarı Araplar; kg; 1700m; Kum;;;;Rekor Derece :1.57.62
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SON AKTAŞ KG GKR;6y k  a;AKTAŞOĞLU;ARATHANIM;54,5 +1.00;C.YILDIRIM AP;CEBRAİL AKTAŞ;MAHMUT DOĞAN;12 - DS;%7.25(6);37;2:10.81;10,55;7 Boy
2;UMUDUM DENİZ KG SK;4y a  a;ALTINCI HİS;ASMİN KIZI;58;A.H.BAYAR;HELİN AKIL;F.E.AKIL;2;%16.18(1);48;2:12.03;4,50;1,5  Boy
