Bursa;(27. Yarış Günü);13/07/2026
1. Kosu :   13.30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1800m; Çim;;;;Rekor Derece :1.46.66
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;STORM CHASER KG DB SK;2y k  e;BLUEGRASS CAT (USA);TWOBISCHIM;57 +0.50;SAL.ÇELİK;MURAT ULUFİ;C.ŞİMŞEK;2;%29.39(1)  %35.15(1);34;1:19.04;1,90;4,5 Boy
2;TRUST MY POWER KG DB SK;2y d  e;MENDIP (USA);MARQUISE;54;Y.GÖKÇE AP;SABRİ AVCI;E.AVCI;5;%7.68(5)  %7.08(5);;1:19.75;13,25;1,5  Boy
3;SON CESİ KG SK;2y d  e;EPAULETTE (AUS);MOUNTAIN PARADISE;57 +0.40;E.ÇANKAYA;ABDİ ARSLAN;R.SUNA;6;%15.76(3)  %13.61(3);;1:19.92;7,15;Boyun
4;I LOVE SPEED KG DB SK;2y d  e;KLIMT (USA);ARPELLO;57;V.ABİŞ;İ.SUAT KUTLU;K.ŞENGEL;8;%18.98(2)  %17.85(2);35;1:19.97;4,55;5 Boy
5;KRALİÇE NONİKA KG DB SK;2y d  d;SATONO ARES (JPN);MASAL KIZIM;55;M.KEÇECİ;MERAL ÖZSAKCİ;A.R.AYDIN;1;%9.05(4)  %8.29(4);30;1:20.71;9,20;
6;ÇİLLİ CAFER KG DB;2y a  e;SADLER'S JOY (USA);LADİN;57;A.MEH.ALTIN;İREM KALKAVAN;M.ESMER;3;%4.93(7)  %4.59(7);;1:21.21;11,90;
7;ÇİKOK FIRTINASI KG K DB;2y a  d;AMERİKALI;ÇİKOK ŞÖVGEN;55 +0.50;T.YILDIZ;EROL ÇOKLAR;T.ATEŞ;7;%3.54(9)  %3.55(9);;1:21.45;16,05;
8;DARK RAMPART SKG SK;2y d  e;FEARLESS KING (GB);WHITE CATTLEYA;57;C.PASO;ALİ PASO;S.BAYDAN;10 - DS;%4.2(8)  %4.1(8);;1:21.54;14,85;
9;BLUE ROYAL KG K DB SK;2y d  d;ROYAL AVSAR (USA);BLUE FLOWER;55;C.ALTUN;ALİ YILMAZ;HÜS.KARABULUT;9 - DS;%5.26(6)  %4.66(6);26;1:25.32;18,45;
