İzmir;(28. Yarış Günü);19/07/2026
2;FIREBLADE DB SKG SK;3y a  d;TRAPPE SHOT (USA);GÖNLÜ FERAH;52 +2.00;A.KÜRÜNDÜK;A.HAŞİM AGAR;H.DURMUŞ;10;%9.98(5);40;1:28.64;10,00;3 Boy
3;FASTEST ÇINAR K DB;4y a k;VICTORY GALLOP (CAN);MAGNOLIA;50 +1.00;İ.S.SÖĞÜT;MEHMET ÖKSÜZ;S.C.GÖZÜNGÜ;2;%2.68(10);40;1:29.13;22,60;Yarım Boy
4;DUYARLI K DB SKG;4y a k;AGRESIVO (USA);NEW SURAL;56,5;B.BÜLBÜL AP;MELİH KAHRAMAN;Y.TALUK;3;%5.21(7);61;1:29.25;11,20;2 Boy
5;LADY ONAT DB SK;3y d  d;PAPA CLEM (USA);QUEENS DREAM;52 +2.00;A.MEH.ALTIN;EBRU ONAT;SEY.DEMİR;11 - DS;%12.89(4);50;1:29.54;6,20;
6;RAMONA KG DB SK;4y a k;CATAPULT (USA);AWESOME LADY;52,5 +1.30;O.ATMACA;MURAT İRK;A.ÖKSÜZLER;5;%6.67(6);47;1:29.57;16,65;
7;SUPERTRAMP DB SK;3y d  d;SUPER SAVER (USA);LUCY IN THE SKY;53,5 +2.00;MER.ÇELİK;DUYGU FATURA;Z.KURT;8;%17.78(2);59;1:30.06;4,20;
8;TOROS GÜZELİ;4y a k;APPROVE (IRE);DARGA;54;Ö.F.ÖZEN AP;RUHAT SOL;Y.ARSLANCA;7;%4.27(8);54;1:30.71;14,20;
9;ETERNAL STORM DB SKG SK;3y d  d;EPAULETTE (AUS);NAME OF THE ROSE;52 +1.10;Ç.TAŞCI AP;M.MEHMET İLHAN;M.ÇAM;1;%1.12(11);25;1:30.85;39,50;
10;ROXELENA KG K;4y d k;TOROK (IRE);LISSANDRA;55 +1.30;M.M.BİLGİN;METİN ÇETİNKAYA;L.BERKOL;9;%16.39(3);52;1:34.03;3,45;
11;SÜSLÜCAN KG DB SK;4y a k;TRAPPE SHOT (USA);MADAM ALYA;61;K.YILMAZ AP;ÇAĞLAR ŞAHİN AKBABA;N.GÖNÜLTAŞ;4;%2.73(9);68;1:35.37;19,40;
GANYAN(2) :4,85 TL, 7'Lİ PLASE(1,3/1,7/1,5/1,5/1,3/3,6/2,10) :99,20 TL, 6'LI GANYAN(7/1/1/1/3/2) :4.600,25 TL, 5'Lİ GANYAN(1/1/1/3/2) :1.114,80 TL, 4'LÜ GANYAN(1/1/3/2) :84,87 TL, 2. 3'LÜ GANYAN(1/3/2) :12,60 TL, İKİLİ(2/10) :23,15 TL, SIRALI İKİLİ(2/10) :34,60 TL, ÜÇLÜ BAHİS(2/10/9) :1.717,40 TL, PLASE(10) :1,75 TL, PLASE(2) :1,85 TL, PLASE İKİLİ(2/10) :23,60 TL, PLASE İKİLİ(2/9) :73,90 TL, PLASE İKİLİ(9/10) :62,70 TL, 6. ÇİFTE(3/2) :6,45 TL, 7'Lİ GANYAN(3/7/1/1/1/3/2) :23.214,20 TL

